medicaid_only,POVPIP,PINCP,PERNP,OCCP_2digit,WAGP,INDP_2digit,ESR,ANC1P,WKL,SCHL,RELSHIPP,MSP,WRK,DIS,MAR,HIMRKS,DREM,RAC3P,DOUT,RAC2P,NWLK,SSIP,NWLA,DPHY,RAC1P,DDRS,RACAIAN,NWAB,MARHYP,RACWHT,ANC2P,COW,WAOB,WKHP,SSP,POBP,WKWN,PWGTP,INTP,PUMA,MIG,ANC,DEYE,NWRE,PAP,MARHM,NWAV,DEAR,MIL,HISP,AGEP
0,379.0,1500.0,1500.0,42,1500.0,78,6.0,32,1.0,16.0,37,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,3.0,1,30.0,0.0,38,52.0,61,0.0,300,1.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,23
0,379.0,9300.0,5300.0,42,5300.0,77,6.0,32,1.0,19.0,38,6.0,2.0,2,5,2,2.0,1,2.0,1000,2.0,0.0,2.0,2.0,1,2.0,0,2.0,1995.0,1,999,1.0,1,11.0,0.0,38,25.0,77,0.0,100,1.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,19
0,501.0,100000.0,100000.0,00,100000.0,30,1.0,999,1.0,21.0,38,2.0,1.0,2,1,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,2013.0,1,999,1.0,1,40.0,0.0,27,52.0,23,0.0,600,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,54
0,379.0,7500.0,7500.0,46,7500.0,84,1.0,999,1.0,16.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,8,30.0,0.0,501,40.0,32,0.0,200,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,18
0,379.0,11000.0,11000.0,01,11000.0,46,6.0,999,1.0,19.0,38,6.0,1.0,2,5,2,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,40.0,0.0,38,25.0,12,0.0,400,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,19
1,379.0,25000.0,25000.0,62,25000.0,07,6.0,920,1.0,16.0,37,6.0,1.0,2,5,0,2.0,3,2.0,5025,3.0,0.0,3.0,2.0,5,2.0,1,3.0,1995.0,0,999,1.0,1,44.0,0.0,38,28.0,20,0.0,400,3.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,30
0,379.0,8900.0,10000.0,98,10000.0,96,4.0,210,1.0,16.0,38,6.0,1.0,2,5,0,2.0,15,2.0,8000,3.0,0.0,3.0,2.0,8,2.0,0,3.0,1995.0,0,999,5.0,1,84.0,0.0,48,15.0,81,-1100.0,200,3.0,1,2,3.0,0.0,2.0,5.0,2,1.0,2,18
0,379.0,0.0,0.0,91,0.0,86,6.0,22,2.0,19.0,38,6.0,2.0,2,5,0,2.0,1,2.0,1000,2.0,0.0,2.0,2.0,1,2.0,0,2.0,1995.0,1,999,1.0,1,40.0,0.0,6,52.0,5,0.0,500,1.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,22
1,27.0,4300.0,0.0,42,0.0,69,6.0,999,3.0,16.0,38,4.0,1.0,1,3,0,1.0,1,1.0,1000,3.0,4300.0,3.0,1.0,1,1.0,0,3.0,2003.0,1,999,1.0,1,40.0,0.0,38,52.0,243,0.0,500,3.0,4,1,3.0,0.0,2.0,5.0,1,4.0,1,48
1,9.0,1400.0,0.0,42,0.0,69,6.0,999,3.0,16.0,38,6.0,2.0,1,5,0,1.0,1,1.0,1000,2.0,0.0,2.0,2.0,1,1.0,0,2.0,1995.0,1,999,1.0,1,40.0,1400.0,38,52.0,38,0.0,400,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,63
1,379.0,16800.0,0.0,42,0.0,69,6.0,999,3.0,21.0,37,4.0,1.0,1,3,0,1.0,1,1.0,1000,3.0,0.0,3.0,1.0,1,1.0,0,3.0,1995.0,1,999,1.0,1,40.0,0.0,36,52.0,102,0.0,300,1.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,54
0,379.0,4500.0,4500.0,52,3500.0,85,3.0,32,1.0,19.0,38,6.0,2.0,2,5,0,2.0,1,2.0,1000,1.0,0.0,2.0,2.0,1,2.0,0,2.0,1995.0,1,22,1.0,1,40.0,0.0,27,12.0,66,0.0,600,3.0,2,2,3.0,0.0,2.0,1.0,2,4.0,1,19
0,379.0,15600.0,15600.0,38,15600.0,94,1.0,999,1.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,4.0,1,25.0,0.0,6,38.0,12,0.0,500,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,22
1,379.0,28000.0,28000.0,62,28000.0,07,6.0,999,1.0,17.0,37,5.0,1.0,1,4,0,1.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,2021.0,1,999,1.0,1,44.0,0.0,38,28.0,80,0.0,400,1.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,48
