Component,Explained_Variance,Cumulative_Variance
1,0.0277570754959556,0.0277570754959556
2,0.020618991136207625,0.04837606663216322
3,0.016943655360954706,0.06531972199311792
4,0.012321352806403285,0.0776410747995212
5,0.011372414755474153,0.08901348955499536
6,0.010930873995857574,0.09994436355085293
7,0.010482284262118753,0.11042664781297168
8,0.009508427168633244,0.11993507498160492
9,0.00838682703406766,0.1283219020156726
10,0.008280960425974896,0.1366028624416475
11,0.007877949214918032,0.1444808116565655
12,0.007605254947563899,0.1520860666041294
13,0.007475428174215625,0.15956149477834503
14,0.007378200744764392,0.16693969552310942
15,0.007261027844823817,0.17420072336793324
16,0.007180462245904504,0.18138118561383776
17,0.007097801479714905,0.18847898709355265
18,0.007001985443911955,0.1954809725374646
19,0.006978316256169712,0.2024592887936343
20,0.006923194410081234,0.20938248320371555
21,0.0068781754331365096,0.21626065863685207
22,0.006794286760902225,0.22305494539775428
23,0.006764384122352122,0.2298193295201064
24,0.006654585397673404,0.2364739149177798
25,0.006510309434848041,0.24298422435262784
26,0.006459972101348878,0.24944419645397672
27,0.006441194937245597,0.2558853913912223
28,0.0063676511745525645,0.26225304256577486
29,0.006306217886706188,0.2685592604524811
30,0.006260529865493513,0.2748197903179746
31,0.006165342648015582,0.2809851329659902
32,0.006121459903602246,0.28710659286959245
33,0.0060442696453343984,0.29315086251492684
34,0.006028632465072052,0.2991794949799989
35,0.005951133016032717,0.30513062799603163
36,0.005932707182296393,0.311063335178328
37,0.005895926995608003,0.316959262173936
38,0.00584478864529978,0.3228040508192358
39,0.0058191841264354765,0.32862323494567125
40,0.0057737243838045255,0.3343969593294758
41,0.0057655099144991164,0.34016246924397486
42,0.00576311421483655,0.3459255834588114
43,0.005726060822958442,0.35165164428176987
44,0.005694096419975627,0.3573457407017455
45,0.005649573189406658,0.3629953138911522
46,0.005597142097853821,0.36859245598900603
47,0.005575315911925151,0.3741677719009312
48,0.005557764536358172,0.37972553643728935
49,0.00549241063766212,0.38521794707495144
50,0.005463855864675103,0.39068180293962657
51,0.005450488881990141,0.3961322918216167
52,0.005408017178306382,0.40154030899992305
53,0.005384535924903925,0.40692484492482695
54,0.005344626670255903,0.41226947159508287
55,0.005307243665307516,0.41757671526039036
56,0.005288484940176992,0.42286520020056734
57,0.00526037449146402,0.42812557469203133
58,0.005248995078002947,0.4333745697700343
59,0.005225782066266479,0.4386003518363008
60,0.005210653041456978,0.44381100487775776
61,0.005146681661722688,0.4489576865394804
62,0.005109527464708775,0.4540672140041892
63,0.005062040321811548,0.45912925432600077
64,0.005050931139013511,0.46418018546501427
65,0.005016255561744338,0.4691964410267586
66,0.004994550889256261,0.4741909919160149
67,0.004932626911976757,0.47912361882799165
68,0.0049040925915744705,0.48402771141956613
69,0.004895090610989698,0.4889228020305558
70,0.004854994822277952,0.4937777968528338
71,0.004842408452299147,0.49862020530513296
72,0.004815906054037835,0.5034361113591708
73,0.004767290487374535,0.5082034018465453
74,0.004759271701139176,0.5129626735476845
75,0.004744208405763212,0.5177068819534477
76,0.004699659814873453,0.5224065417683211
77,0.004693996722663695,0.5271005384909848
78,0.0046806621223555835,0.5317812006133404
79,0.004670824601053222,0.5364520252143936
80,0.004645105412562518,0.5410971306269561
81,0.004637879729163835,0.5457350103561199
82,0.004585471521250848,0.5503204818773708
83,0.004582578212730081,0.5549030600901009
84,0.004555913191010604,0.5594589732811115
85,0.004536670095936754,0.5639956433770482
86,0.004531691481565825,0.5685273348586141
87,0.004518811234891297,0.5730461460935053
88,0.004499460701619362,0.5775456067951247
89,0.004498063553920773,0.5820436703490455
90,0.0044618085621371175,0.5865054789111825
91,0.004442341312548306,0.5909478202237308
92,0.004430482147853162,0.595378302371584
93,0.004420793503417446,0.5997990958750014
94,0.0044063844936807605,0.6042054803686822
95,0.004397375071693675,0.6086028554403758
96,0.0043885410728375885,0.6129913965132134
97,0.004353593188891279,0.6173449897021047
98,0.004345180462648564,0.6216901701647533
99,0.004324472103458738,0.626014642268212
100,0.004309536405513807,0.6303241786737258
101,0.004300209804313144,0.6346243884780389
102,0.004285680309196082,0.638910068787235
103,0.004278066875182757,0.6431881356624177
104,0.004263201509947925,0.6474513371723657
105,0.0042558180141942506,0.65170715518656
106,0.004252182311642855,0.6559593374982028
107,0.004242598719606535,0.6602019362178093
108,0.004237237070849684,0.664439173288659
109,0.004225266628583219,0.6686644399172422
110,0.004217233644142747,0.672881673561385
111,0.00419708167150265,0.6770787552328876
112,0.004190990810112061,0.6812697460429997
113,0.004182832729623374,0.6854525787726231
114,0.0041781126475396715,0.6896306914201628
115,0.00416561954330472,0.6937963109634675
116,0.00415328429337731,0.6979495952568449
117,0.004143438218207592,0.7020930334750525
118,0.0041245644850521224,0.7062175979601046
119,0.004121121704181743,0.7103387196642864
120,0.004091671919890782,0.7144303915841772
121,0.004087992354416254,0.7185183839385935
122,0.004060993026720486,0.7225793769653139
123,0.004054070877942898,0.7266334478432568
124,0.004040074735380795,0.7306735225786376
125,0.0040270133088861175,0.7347005358875237
126,0.004013374166938962,0.7387139100544626
127,0.003992651438319457,0.7427065614927821
128,0.0039777368152092854,0.7466842983079914
129,0.00396097940734635,0.7506452777153377
130,0.003941211727002288,0.75458648944234
131,0.00391397039145792,0.7585004598337979
132,0.003894510069405814,0.7623949699032037
133,0.003890360264808555,0.7662853301680123
134,0.0038691939439874034,0.7701545241119997
135,0.0038287974172805826,0.7739833215292803
136,0.0038244632853454185,0.7778077848146258
137,0.0038040784633112217,0.781611863277937
138,0.0037692152202627857,0.7853810784981997
139,0.0037508257067296424,0.7891319042049294
140,0.0037383583233592723,0.7928702625282886
141,0.0037303460748937837,0.7966006086031824
142,0.0036958808618538144,0.8002964894650362
143,0.003670266248435708,0.8039667557134719
144,0.0036635671547824086,0.8076303228682543
145,0.003651280510607824,0.8112816033788621
146,0.003611019336469002,0.8148926227153311
147,0.003585713098677988,0.8184783358140091
148,0.0035644094516182846,0.8220427452656274
149,0.003523335661456141,0.8255660809270835
150,0.003497925711678658,0.8290640066387621
151,0.003465787265989268,0.8325297939047513
152,0.003421620041773964,0.8359514139465253
153,0.003402015849391567,0.8393534297959169
154,0.00339401637752454,0.8427474461734414
155,0.0033849576338442567,0.8461324038072857
156,0.0033584766793800717,0.8494908804866658
157,0.003314531317202782,0.8528054118038686
158,0.0032975426389643485,0.8561029544428329
159,0.0032774119610915683,0.8593803664039245
160,0.0032339342275839187,0.8626143006315083
161,0.003206188919252323,0.8658204895507606
162,0.0031817215947255407,0.8690022111454861
163,0.0031439927516068175,0.872146203897093
164,0.0031330255034702414,0.8752792294005632
165,0.0031189233939689217,0.8783981527945321
166,0.0030794779375730138,0.8814776307321052
167,0.00304321372649192,0.8845208444585971
168,0.0030247017229987597,0.8875455461815959
169,0.003001686627639674,0.8905472328092355
170,0.0029763122032452453,0.8935235450124808
171,0.002930616724789676,0.8964541617372704
172,0.002923899709611384,0.8993780614468818
173,0.002902400436730627,0.9022804618836124
174,0.0028712043814805646,0.905151666265093
175,0.0028296659881722652,0.9079813322532653
176,0.002782754044158462,0.9107640862974238
177,0.002756833906629403,0.9135209202040532
178,0.0027365578248581056,0.9162574780289113
179,0.0027178022909222824,0.9189752803198337
180,0.0026918797401328646,0.9216671600599665
181,0.0026832582909363393,0.9243504183509028
182,0.0026317288777243887,0.9269821472286272
183,0.002616371565360459,0.9295985187939876
184,0.0025880848984164003,0.932186603692404
185,0.002562622539750086,0.9347492262321541
186,0.0025386576364083376,0.9372878838685624
187,0.0025293390132936043,0.939817222881856
188,0.0024730351878970882,0.9422902580697531
189,0.002390226298870125,0.9446804843686232
190,0.0023854763390261263,0.9470659607076493
191,0.0023726375979455754,0.9494385983055948
192,0.002322711579446903,0.9517613098850417
