Component,Explained_Variance,Cumulative_Variance
1,0.018117004773990173,0.018117004773990173
2,0.010407989986535289,0.02852499476052546
3,0.008961903798272799,0.03748689855879826
4,0.008299526365798294,0.04578642492459656
5,0.007840602240377175,0.05362702716497374
6,0.007416232690896986,0.061043259855870724
7,0.007066682662423507,0.06810994251829423
8,0.006600250994412854,0.0747101935127071
9,0.006337916650042838,0.08104811016274993
10,0.006045862170976872,0.0870939723337268
11,0.005928976230011009,0.09302294856373781
12,0.005800627548424868,0.09882357611216268
13,0.005491318469692256,0.10431489458185493
14,0.005377076519001691,0.10969197110085663
15,0.005311985549164784,0.11500395665002142
16,0.005137195245055825,0.12014115189507724
17,0.005094306345633298,0.12523545824071053
18,0.005085289283812419,0.13032074752452294
19,0.004954454633330795,0.13527520215785374
20,0.004866892557446026,0.14014209471529976
21,0.004743649581077293,0.14488574429637704
22,0.004642684161400756,0.1495284284577778
23,0.004538639906767811,0.15406706836454562
24,0.0045201525366254,0.15858722090117103
25,0.004219917324283399,0.16280713822545442
26,0.004203407358742501,0.16701054558419692
27,0.004159959779215332,0.17117050536341225
28,0.004119793181369974,0.17529029854478223
29,0.004103882850949643,0.17939418139573188
30,0.004083966219027047,0.18347814761475892
31,0.004052154719983535,0.18753030233474247
32,0.004025440496426035,0.1915557428311685
33,0.003957326752376097,0.19551306958354459
34,0.003919244437671986,0.19943231402121658
35,0.003905464716367165,0.20333777873758374
36,0.003891476070139635,0.20722925480772336
37,0.0038337402764285823,0.21106299508415194
38,0.0038148143422718135,0.21487780942642376
39,0.003798555259380282,0.21867636468580404
40,0.003780431135703989,0.222456795821508
41,0.003738935219597656,0.22619573104110566
42,0.0037242920937724353,0.22992002313487808
43,0.0037224850672786694,0.23364250820215676
44,0.003677686046887427,0.2373201942490442
45,0.003636869023686957,0.24095706327273114
46,0.003604522490410476,0.24456158576314163
47,0.003592010719104095,0.24815359648224572
48,0.0035590702178272212,0.2517126667000729
49,0.0035560588080318263,0.25526872550810475
50,0.003535281088433872,0.2588040065965386
51,0.003499486065411817,0.26230349266195047
52,0.0034878208197618595,0.2657913134817123
53,0.003443948297194425,0.2692352617789067
54,0.0034117672596222118,0.27264702903852894
55,0.003399137273371241,0.2760461663119002
56,0.0033759982381776337,0.27942216455007785
57,0.0033394690609751805,0.282761633611053
58,0.003301570670929946,0.28606320428198295
59,0.003296021931403615,0.28935922621338656
60,0.0032903369072061783,0.29264956312059276
61,0.003238620514843221,0.29588818363543595
62,0.0032315544890233255,0.2991197381244593
63,0.0032133728570107887,0.3023331109814701
64,0.003204270549196549,0.3055373815306666
65,0.0031656507306258514,0.3087030322612925
66,0.003156932265002878,0.31185996452629533
67,0.003142940543063118,0.31500290506935846
68,0.003136916191182653,0.31813982126054113
69,0.0031191190579828174,0.321258940318524
70,0.003106331895541382,0.32436527221406536
71,0.003088763765331211,0.3274540359793966
72,0.003076832206065276,0.33053086818546185
73,0.0030613824881663026,0.33359225067362813
74,0.003039207682907085,0.33663145835653524
75,0.002996694033440967,0.33962815238997623
76,0.0029805419709348973,0.3426086943609111
77,0.0029681941745756785,0.3455768885354868
78,0.002959845426596185,0.34853673396208296
79,0.0029447955302242925,0.35148152949230727
80,0.002919750363155512,0.35440127985546277
81,0.002879386724874701,0.35728066658033747
82,0.0028645989485232616,0.3601452655288607
83,0.002845299261491288,0.362990564790352
84,0.0028300910936178165,0.36582065588396984
